Video Link,Video Views,Video Title,Channel URL,Creator Name,Creator Gender,Total Channel Subcribers,Total Chanel Views,Duration of Video,Duration in Seconds,Date of Video Upload,No of Likes,Language of the Video,Subtitle,Video Description,Hashtags,No of Comments,Date of the Last Comment,Maximum Quality of the Video,No of Videos the Channel,No of Playlist,Premiered or Not,Community Engagement (Posts per week),Intern Who Collected the Data
https://www.youtube.com/watch?v=_0fUOJ55gis,"146,059",Samse - Didupe Off-road Royal Enfield Himalayan,https://www.youtube.com/c/sriharick,srihari ck,Male,40200,7964284,00:30:41 ,"1,841.00",7/29/2022,6700,Kannada,No,Yes,0,419,8/6/2022,1080,462,12,No,1,Akhil Teja
https://www.youtube.com/watch?v=_70MSLPRfZI,"231,969",Bhoom Baddhal Web Series,https://www.youtube.com/c/ChaibisketTelugu,Chai Bisket,Male,920000,137535681,00:14:24 ,864.00,5/22/2022,7800,Telugu,No,Yes,1,189,6/15/2022,1080,251,12,Yes,2,Akhil Teja
https://www.youtube.com/watch?v=_8gfCdt3H00&t=87s,878,"Customer Psychology, Four Views Of Consumer Decision Making",https://www.youtube.com/channel/UCcIUnCsBfONvbWdm3ncr82w,Virda Warsi,Female,458,72945,0:08:12,492.00,2/9/2021,858,Hindi,No,Yes,0,0,N/A,720,158,0,No,0,Syed safdar
https://www.youtube.com/watch?v=_CkFNJgKsFs,"9,965",Top countries with proven natural gas reserves,https://www.youtube.com/c/trtworld,TRT,N/A,1680000,541653219,0:01:06,66.00,9/13/2022,188,English,No,Yes,0,77,9/22/2022,1080,46509,48,No,20,Syed safdar
https://www.youtube.com/watch?v=_GFkHA5EZdE,"39,780,561",73 Questions With Selena Gomez,Vogue - YouTube,Vogue,N/A,12100000,3600496171,0:07:40,460.00,3/21/2017,901000,English,yes,Yes,0,28221,9/23/2022,1080,2872,113,No,1,Rahul Singh
https://www.youtube.com/watch?v=_HwPGXsklyY,"257,334",HERO - Baananchige Oduva Baara,https://www.youtube.com/c/RishabShettyFilms,Rishab Shetty Films,Male,382000,154898226,00:06:01 ,361.00,3/24/2021,8300,Kannada,No,Yes,1,387,4/24/2021,2160,94,14,No,0,Akhil Teja
https://www.youtube.com/watch?v=_LTiEXMc5J0,"8,830,286",PUBG - Season 4 Gameplay Trailer,PUBG: BATTLEGROUNDS - YouTube,PUBG: BATTLEGROUNDS,N/A,2190000,225870537,0:02:32,152.00,7/24/2019,236000,English,No,Yes,0,6345,8/21/2022,1080,571,31,No,3,Rahul Singh
https://www.youtube.com/watch?v=_w6Uxclog7E,"8,843,877",HOGWARTS LEGACY New Gameplay Demo 14 Minutes 4K,https://www.youtube.com/c/WildGamerSK,Wildgamersk,N/A,142000,89251109,00:14:18 ,858.00,18-03-2022,107000,English,Yes,Yes,0,9562,21-09-2022,2160,2956,45,No,0,prateek
https://www.youtube.com/watch?v=_WOIlB3RisM,"3,809,666","?GMV? Tribute to Ghost ""SIMON RILEY"" - Legends Never Die - Modern Warfare",https://www.youtube.com/c/CodenameRedDragon,Codename RedDragon,N/A,30100,6289003,0:03:54,234.00,6/17/2020,87000,English,No,Yes,3,6961,9/22/2022,1080,109,7,No,0,Syed safdar
https://www.youtube.com/watch?v=06nQFA1lfMk,"49,244",Hush Hush - Watch Now,Prime Video India - YouTube,Prime,N/A,89800000,6300485808,0:00:40,40.00,9/22/2022,145,Hindi,yes,Yes,3,27,9/22/2022,2160,4572,122,No,10,Rahul Singh
