,Video Views,Creator Gender,Language of the Video,Video Description,Video Quality,Duration,Premiered or Not,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week)
0,146059,Male,Kannada,Yes,Medium,long,No,0.00013160551924832129,0.00011134460710372373,0.00013673469387755102,0.0,0.0010976216610039547,0.002932551319648094
1,231969,Male,Telugu,Yes,Medium,medium,Yes,0.003014305709326324,0.0019228169144436206,0.00015918367346938776,0.03571428571428571,0.0005952395124750298,0.005865102639296188
2,878,Female,Hindi,Yes,Medium,medium,No,1.3892531036520496e-06,1.019779268987075e-06,1.7510204081632653e-05,0.0,0.0003738104138343187,0.0
3,9965,Org,English,Yes,Medium,short,No,0.005504476366815846,0.00757258025686848,3.836734693877551e-06,0.0,0.0330929359355617,0.04105571847507331
4,39780561,Org,English,Yes,Medium,medium,No,0.03964602669713272,0.05033671978412712,0.018387755102040815,0.0,0.0068357305612632415,0.002932551319648094
5,257334,Male,Kannada,Yes,High,short,No,0.0012515270070508461,0.0021655538932881316,0.00016938775510204083,0.03571428571428571,0.00022142909864071106,0.0
6,8830286,Org,English,Yes,Medium,short,No,0.007175511939604869,0.0031577819539643217,0.004816326530612245,0.0,0.0013571460884430678,0.00879765395894428
7,8843877,Org,English,Yes,High,medium,No,0.00046515732573836527,0.0012477746823238312,0.0021836734693877554,0.0,0.007035731037454851,0.0
8,3809666,Org,English,Yes,Medium,short,No,9.851246182642104e-05,8.792334894971394e-05,0.0017755102040816328,0.10714285714285714,0.00025714346938921287,0.0
9,49244,Org,Hindi,Yes,High,short,No,0.16861065443237927,0.0880839122260686,2.959183673469388e-06,0.10714285714285714,0.010883359246093445,0.02932551319648094
10,5599742,Male,English,Yes,Medium,medium,No,0.015366862786609878,0.0071457681638862165,0.0014285714285714286,0.0,0.0005119059807285256,0.0
11,25052,Male,English,Yes,Medium,short,No,0.003273152396091682,0.0008115472989543778,2.8571428571428574e-05,0.0,0.0021833385317584094,0.005865102639296188
12,50176015,Male,Hindi,Yes,Medium,medium,No,0.12057657306554222,0.042125272791393095,0.012857142857142857,0.0,0.0004238105328822212,0.002932551319648094
13,94029821,Female,English,Yes,Medium,short,No,0.16861065443237927,0.08619746049523952,0.020061224489795918,0.07142857142857142,0.0004261914909321213,0.005865102639296188
14,21274487,Org,Japenese,Yes,Low,short,No,8.344037626793182e-05,0.00029818695057954773,0.004,0.10714285714285714,0.0007309541213193365,0.0
15,371268,Male,Telugu,Yes,High,long,No,0.0017233488158383346,0.0019348415244744186,0.00040816326530612246,0.0,0.002021433384365201,0.020527859237536656
16,1250286,Org,English,Yes,High,short,No,0.1156617625573392,0.0221305690691241,0.00024489795918367346,0.0,0.0330929359355617,0.005865102639296188
17,115636,Male,Tamil,Yes,Medium,medium,No,9.556357552149924e-05,2.7287703935387924e-05,5.306122448979592e-05,0.0,0.00010952407029540547,0.002932551319648094
18,1770573,Male,English,Yes,High,long,No,0.052424534018460534,0.0016230054303097044,0.0008571428571428572,0.0,0.0003428579591856171,0.00879765395894428
19,235881,Male,Telugu,Yes,Medium,medium,Yes,0.00020696594704076738,0.00011119414901325804,0.00020408163265306123,0.0,0.00015952418934330799,0.002932551319648094
20,11234302,Male,Telugu,Yes,High,long,No,0.023132263389570626,0.00930353808088175,0.022448979591836737,0.03571428571428571,0.00025476251133931275,0.002932551319648094
21,151671688,Org,English,Yes,Medium,medium,No,0.0013268874348432921,0.0021193930659311536,0.01859183673469388,0.0,3.333341269860166e-05,0.0
22,68333,Male,English,Yes,Medium,medium,No,0.009600151790318352,0.00030082168676361977,3.8775510204081634e-05,0.07142857142857142,0.0009095259750618454,0.005865102639296188
23,8551935,Male,English,Yes,Medium,medium,No,0.013761358020596897,0.0043394753227233625,0.004428571428571428,0.0,0.00060000142857483,0.002932551319648094
24,3517520,Org,Hindi,Yes,Medium,long,No,0.007175511939604869,0.004203548628979516,0.0,0.10714285714285714,0.00015714323129340784,0.0
25,1118970,Female,English,Yes,Medium,medium,No,0.0063236114515163476,0.005023025371280134,0.0007959183673469388,0.03571428571428571,0.00019523856009180977,0.0
26,3346789,Org,English,Yes,Medium,long,No,0.0007174509318261195,0.0001647724819394211,0.0008775510204081633,0.10714285714285714,0.0002023814342415101,0.005865102639296188
27,909640,Male,Telugu,Yes,High,long,No,0.0006846855284380995,8.14707911469324e-05,0.0006938775510204082,0.0,2.8571496598801426e-05,0.0
28,2858740,Org,English,Yes,Medium,short,No,0.09927906086332919,0.352539960016438,6.326530612244899e-05,0.07142857142857142,0.004311915028369115,0.005865102639296188
29,2140193,Male,English,Yes,High,long,No,0.16861065443237927,0.06092249743212299,0.03469387755102041,0.0,0.004911916456943945,0.0
30,3278291072,Male,English,Yes,High,short,No,0.17169060235085346,0.3938769398818583,0.3673469387755102,0.10714285714285714,0.0006095252607744305,0.0
31,68789,Male,English,Yes,High,long,No,0.16861065443237927,0.0006364053997647294,0.03469387755102041,0.03571428571428571,0.0018119090759739903,0.002932551319648094
32,138831703,Male,English,Yes,Medium,medium,No,0.3407600838330369,0.24279970743957524,0.0816326530612245,0.0,0.0017309565022773864,0.0
33,17476468,Org,English,Yes,Medium,long,No,0.003473021356758604,0.002646167517804093,0.002,0.0,0.00025238155328941264,0.0
34,36559485,Male,Hindi,Yes,Medium,medium,No,0.04914799367965853,0.023387342842489913,0.0326530612244898,0.0,0.0003785723299341189,0.0
35,100,Male,English,Yes,Medium,short,No,9.56749778930185e-07,3.907548437573002e-08,1.2244897959183673e-07,0.0,0.00015476227324350773,0.0
36,169135,Org,English,Yes,Medium,medium,No,9.720184569090024e-05,0.0001242707633547199,1.4040816326530613e-05,0.10714285714285714,0.00012380981859480618,0.00879765395894428
37,445718,Male,English,Yes,Medium,short,No,0.001074593828755538,0.0005209501915096319,0.00015714285714285716,0.0,0.0008309543594151415,0.002932551319648094
38,6349738,Org,English,Yes,Medium,medium,No,0.03964602669713272,0.05033671978412712,0.004551020408163266,0.0,0.0068357305612632415,0.002932551319648094
39,2482051,Male,English,Yes,Medium,short,Yes,0.009534620983542312,0.005234057243068429,0.0004897959183673469,0.0,0.0330929359355617,0.04105571847507331
